Title,Title20,Title29,ISSN,EISSN,Category name
BRAIN SCIENCES,BRAIN SCI,BRAIN SCI,****-****,2076-3425,NEUROSCIENCE & BEHAVIOR
BRAIN STIMULATION,BRAIN STIMUL,BRAIN STIMUL,1935-861X,1876-4754,NEUROSCIENCE & BEHAVIOR
BRAIN STRUCTURE & FUNCTION,BRAIN STRUCT FUNCT,BRAIN STRUCT FUNCT,1863-2653,1863-2661,NEUROSCIENCE & BEHAVIOR
BRAIN TOPOGRAPHY,BRAIN TOPOGR,BRAIN TOPOGR,0896-0267,1573-6792,NEUROSCIENCE & BEHAVIOR
BRAIN TUMOR PATHOLOGY,BRAIN TUMOR PATHOL,BRAIN TUMOR PATHOL,1433-7398,1861-387X,NEUROSCIENCE & BEHAVIOR
BRATISLAVA MEDICAL JOURNAL-BRATISLAVSKE LEKARSKE LISTY,BRATISL MED J,BRATISL MED J,0006-9248,1336-0345,CLINICAL MEDICINE
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,BRAZ ARCH BIOL TECHN,BRAZ ARCH BIOL TECHNOL,1516-8913,1678-4324,BIOLOGY & BIOCHEMISTRY
BRAZILIAN JOURNAL OF ANESTHESIOLOGY,BRAZ J ANESTHESIOL,BRAZ J ANESTHESIOL,0104-0014,2352-2291,CLINICAL MEDICINE
BRAZILIAN JOURNAL OF BIOLOGY,BRAZ J BIOL,BRAZ J BIOL,1519-6984,1678-4375,BIOLOGY & BIOCHEMISTRY
BRAZILIAN JOURNAL OF BOTANY,BRAZ J BOT,BRAZ J BOT,0100-8404,1806-9959,PLANT & ANIMAL SCIENCE
BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY,BRAZ J CARDIOV SURG,BRAZ J CARDIOVASC SURG,0102-7638,1678-9741,CLINICAL MEDICINE
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,BRAZ J CHEM ENG,BRAZ J CHEM ENG,0104-6632,1678-4383,CHEMISTRY
BRAZILIAN JOURNAL OF GEOLOGY,BRAZ J GEOL,BRAZ J GEOL,2317-4889,2317-4692,GEOSCIENCES
BRAZILIAN JOURNAL OF INFECTIOUS DISEASES,BRAZ J INFECT DIS,BRAZ J INFECT DIS,1413-8670,1678-4391,IMMUNOLOGY
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,BRAZ J MED BIOL RES,BRAZ J MED BIOL RES,0100-879X,1414-431X,CLINICAL MEDICINE
BRAZILIAN JOURNAL OF MICROBIOLOGY,BRAZ J MICROBIOL,BRAZ J MICROBIOL,1517-8382,1678-4405,MICROBIOLOGY
BRAZILIAN JOURNAL OF OCEANOGRAPHY,BRAZ J OCEANOGR,BRAZ J OCEANOGR,1679-8759,1982-436X,GEOSCIENCES
BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY,BRAZ J OTORHINOLAR,BRAZ J OTORHINOLARYNGOL,1808-8694,1808-8686,CLINICAL MEDICINE
BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES,BRAZ J PHARM SCI,BRAZ J PHARM SCI,1984-8250,2175-9790,PHARMACOLOGY & TOXICOLOGY
BRAZILIAN JOURNAL OF PHYSICAL THERAPY,BRAZ J PHYS THER,BRAZ J PHYS THER,1413-3555,1809-9246,CLINICAL MEDICINE
BRAZILIAN JOURNAL OF PHYSICS,BRAZ J PHYS,BRAZ J PHYS,0103-9733,1678-4448,PHYSICS
BRAZILIAN JOURNAL OF POULTRY SCIENCE,BRAZ J POULTRY SCI,BRAZ J POULT SCI,1516-635X,1806-9061,AGRICULTURAL SCIENCES
BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,BRAZ J PROBAB STAT,BRAZ J PROBAB STAT,0103-0752,0103-0752,MATHEMATICS
BRAZILIAN JOURNAL OF PSYCHIATRY,BRAZ J PSYCHIAT,BRAZ J PSYCHIAT,1516-4446,1809-452X,PSYCHIATRY/PSYCHOLOGY
BRAZILIAN ORAL RESEARCH,BRAZ ORAL RES,BRAZ ORAL RES,1807-3107,1807-3107,CLINICAL MEDICINE
BREAST,BREAST,BREAST,0960-9776,1532-3080,CLINICAL MEDICINE
BREAST CANCER,BREAST CANCER-TOKYO,BREAST CANCER,1340-6868,1880-4233,CLINICAL MEDICINE
BREAST CANCER RESEARCH,BREAST CANCER RES,BREAST CANCER RES,1465-5411,1465-542X,CLINICAL MEDICINE
BREAST CANCER RESEARCH AND TREATMENT,BREAST CANCER RES TR,BREAST CANCER RES TREAT,0167-6806,1573-7217,CLINICAL MEDICINE
BREAST CANCER-TARGETS AND THERAPY,BREAST CANCER-TARGET,BREAST CANCER-TARGETS THER,1179-1314,1179-1314,CLINICAL MEDICINE
BREAST CARE,BREAST CARE,BREAST CARE,1661-3791,1661-3805,CLINICAL MEDICINE
BREAST JOURNAL,BREAST J,BREAST J,1075-122X,1524-4741,CLINICAL MEDICINE
BREASTFEEDING MEDICINE,BREASTFEED MED,BREASTFEED MED,1556-8253,1556-8342,CLINICAL MEDICINE
BREEDING SCIENCE,BREEDING SCI,BREEDING SCI,1344-7610,1347-3735,PLANT & ANIMAL SCIENCE
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,BRIEF BIOINFORM,1467-5463,1477-4054,COMPUTER SCIENCE
BRIEFINGS IN FUNCTIONAL GENOMICS,BRIEF FUNCT GENOMICS,BRIEF FUNCT GENOMICS,2041-2649,2041-2657,MOLECULAR BIOLOGY & GENETICS
BRITAIN AND THE WORLD,BRIT WORLD,BR WORLD,2043-8567,2043-8575,"SOCIAL SCIENCES, GENERAL"
BRITISH ACCOUNTING REVIEW,BRIT ACCOUNT REV,BRIT ACCOUNT REV,0890-8389,1095-8347,ECONOMICS & BUSINESS
BRITISH DENTAL JOURNAL,BRIT DENT J,BRIT DENT J,0007-0610,1476-5373,CLINICAL MEDICINE
BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,BR EDUC RES J,0141-1926,1469-3518,"SOCIAL SCIENCES, GENERAL"
BRITISH FOOD JOURNAL,BRIT FOOD J,BR FOOD J,0007-070X,1758-4108,AGRICULTURAL SCIENCES
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,BRIT J HIST SCI,BRIT J HIST SCI,0007-0874,1474-001X,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,BRIT J PHILOS SCI,BRIT J PHIL SCI,0007-0882,1464-3537,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,BRIT J ANAESTH,0007-0912,1471-6771,CLINICAL MEDICINE
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,BRIT J BIOMED SCI,BRIT J BIOMED SCI,0967-4845,2474-0896,CLINICAL MEDICINE
BRITISH JOURNAL OF CANCER,BRIT J CANCER,BRIT J CANCER,0007-0920,1532-1827,CLINICAL MEDICINE
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,BRIT J CLIN PHARMACO,BRIT J CLIN PHARMACOL,0306-5251,1365-2125,PHARMACOLOGY & TOXICOLOGY
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRIT J CLIN PSYCHOL,BRIT J CLIN PSYCHOL,0144-6657,2044-8260,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF CRIMINOLOGY,BRIT J CRIMINOL,BRIT J CRIMINOL,0007-0955,1464-3529,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF DERMATOLOGY,BRIT J DERMATOL,BRIT J DERMATOL,0007-0963,1365-2133,CLINICAL MEDICINE
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,BRIT J DEV PSYCHOL,BRIT J DEVELOP PSYCHOL,0261-510X,2044-835X,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,BRIT J EDUC PSYCHOL,BRIT J EDUC PSYCHOL,0007-0998,2044-8279,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF EDUCATIONAL STUDIES,BRIT J EDUC STUD,BRIT J EDUC STUD,0007-1005,1467-8527,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,BRIT J EDUC TECHNOL,0007-1013,1467-8535,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,BRIT J GEN PRACT,0960-1643,1478-5242,CLINICAL MEDICINE
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,BRIT J GUID COUNS,BRIT J GUID COUNS,0306-9885,1469-3534,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF HAEMATOLOGY,BRIT J HAEMATOL,BRIT J HAEMATOL,0007-1048,1365-2141,CLINICAL MEDICINE
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRIT J HEALTH PSYCH,BR J HEALTH PSYCHOL,1359-107X,2044-8287,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF HOSPITAL MEDICINE,BRIT J HOSP MED,BRIT J HOSP MED,1750-8460,1759-7390,CLINICAL MEDICINE
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,BRIT J IND RELAT,BRIT J IND RELAT,0007-1080,1467-8543,ECONOMICS & BUSINESS
BRITISH JOURNAL OF LEARNING DISABILITIES,BRIT J LEARN DISABIL,BR J LEARN DISABIL,1354-4187,1468-3156,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF MANAGEMENT,BRIT J MANAGE,BRIT J MANAGE,1045-3172,1467-8551,ECONOMICS & BUSINESS
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,BRIT J MATH STATIST PSYCHOL,0007-1102,2044-8317,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF MIDDLE EASTERN STUDIES,BRIT J MIDDLE E STUD,BR J MIDDLE EAST STUD,1353-0194,1469-3542,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF MUSIC EDUCATION,BRIT J MUSIC EDUC,BRIT J MUSIC EDUC,0265-0517,1469-2104,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF NEUROSURGERY,BRIT J NEUROSURG,BRIT J NEUROSURG,0268-8697,1360-046X,CLINICAL MEDICINE
BRITISH JOURNAL OF NUTRITION,BRIT J NUTR,BRIT J NUTR,0007-1145,1475-2662,AGRICULTURAL SCIENCES
BRITISH JOURNAL OF OCCUPATIONAL THERAPY,BRIT J OCCUP THER,BR J OCCUP THER,0308-0226,1477-6006,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF OPHTHALMOLOGY,BRIT J OPHTHALMOL,BRIT J OPHTHALMOL,0007-1161,1468-2079,CLINICAL MEDICINE
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,BRIT J ORAL MAX SURG,BRIT J ORAL MAXILLOFAC SURG,0266-4356,1532-1940,CLINICAL MEDICINE
BRITISH JOURNAL OF PHARMACOLOGY,BRIT J PHARMACOL,BRIT J PHARMACOL,0007-1188,1476-5381,PHARMACOLOGY & TOXICOLOGY
BRITISH JOURNAL OF POLITICAL SCIENCE,BRIT J POLIT SCI,BRIT J POLIT SCI,0007-1234,1469-2112,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS,BRIT J POLIT INT REL,BR J POLIT INT RELAT,1369-1481,1467-856X,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF PSYCHIATRY,BRIT J PSYCHIAT,BRIT J PSYCHIAT,0007-1250,1472-1465,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF PSYCHOLOGY,BRIT J PSYCHOL,BRIT J PSYCHOL,0007-1269,2044-8295,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF RADIOLOGY,BRIT J RADIOL,BRIT J RADIOL,0007-1285,1748-880X,CLINICAL MEDICINE
BRITISH JOURNAL OF RELIGIOUS EDUCATION,BRIT J RELIG EDUC,BRIT J RELIG EDUC,0141-6200,1740-7931,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRIT J SOC PSYCHOL,BRIT J SOC PSYCHOL,0144-6665,2044-8309,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF SOCIAL WORK,BRIT J SOC WORK,BRIT J SOC WORK,0045-3102,1468-263X,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF SOCIOLOGY,BRIT J SOCIOL,BRIT J SOCIOL,0007-1315,1468-4446,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,BRIT J SOCIOL EDUC,BRIT J SOCIOL EDUC,0142-5692,1465-3346,"SOCIAL SCIENCES, GENERAL"
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,BRIT J SPORT MED,0306-3674,1473-0480,CLINICAL MEDICINE
BRITISH JOURNAL OF SURGERY,BRIT J SURG,BRIT J SURG,0007-1323,1365-2168,CLINICAL MEDICINE
BRITISH MEDICAL BULLETIN,BRIT MED BULL,BRIT MED BULL,0007-1420,1471-8391,CLINICAL MEDICINE
BRITISH MEDICAL JOURNAL,,,,,CLINICAL MEDICINE
BRITISH POLITICS,BRIT POLIT,BR POLIT,1746-918X,1746-9198,"SOCIAL SCIENCES, GENERAL"
BRITISH POULTRY SCIENCE,BRIT POULTRY SCI,BRIT POULTRY SCI,0007-1668,1466-1799,AGRICULTURAL SCIENCES
BRITTONIA,BRITTONIA,BRITTONIA,0007-196X,1938-436X,PLANT & ANIMAL SCIENCE
BRODOGRADNJA,BRODOGRADNJA,BRODOGRADNJA,0007-215X,1845-5859,ENGINEERING
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,BROOKINGS PAP ECO AC,BROOKINGS PAP ECON ACTIV,0007-2303,1533-4465,ECONOMICS & BUSINESS
BRQ-BUSINESS RESEARCH QUARTERLY,BRQ-BUS RES Q,BRQ-BUS RES Q,2340-9436,2340-9444,ECONOMICS & BUSINESS
BRYOLOGIST,BRYOLOGIST,BRYOLOGIST,0007-2745,1938-4378,PLANT & ANIMAL SCIENCE
BSGF-EARTH SCIENCES BULLETIN,BSGF-EARTH SCI B,BSGF-EARTH SCI BULL,0037-9409,1777-5817,GEOSCIENCES
BUFFALO BULLETIN,BUFFALO BULL,BUFFALO BULL,0125-6726,0125-6726,AGRICULTURAL SCIENCES
BUFFALO LAW REVIEW,BUFFALO LAW REV,BUFFALO LAW REV,0023-9356,0023-9356,"SOCIAL SCIENCES, GENERAL"
BUILDING AND ENVIRONMENT,BUILD ENVIRON,BLDG ENVIRON,0360-1323,1873-684X,ENGINEERING
BUILDING RESEARCH AND INFORMATION,BUILD RES INF,BUILDING RES INFORM,0961-3218,1466-4321,ENGINEERING
BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY,BUILD SERV ENG RES T,BUILD SERV ENG RES TECHNOL,0143-6244,1477-0849,ENGINEERING
BUILDING SIMULATION,BUILD SIMUL-CHINA,BUILD SIMUL,1996-3599,1996-8744,ENGINEERING
BUILDINGS,BUILDINGS-BASEL,BUILDINGS-BASEL,****-****,2075-5309,ENGINEERING
BULGARIAN CHEMICAL COMMUNICATIONS,BULG CHEM COMMUN,BULG CHEM COMMUN,0324-1130,,CHEMISTRY
BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE,BULG J AGRIC SCI,BULG J AGRIC SCI,1310-0351,1310-0351,AGRICULTURAL SCIENCES
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE,B ACAD NAT MED PARIS,BULL ACAD NATL MED,0001-4079,2271-4820,CLINICAL MEDICINE
BULLETIN DE L ACADEMIE VETERINAIRE DE FRANCE,B ACAD VET FRANCE,BULL ACAD VET FR,0001-4192,2259-2385,PLANT & ANIMAL SCIENCE
BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,B SOC GEOL FR,BULL SOC GEOL FR,0037-9409,1777-5817,GEOSCIENCES
BULLETIN DE LA SOCIETE LINNEENNE DE LYON,B SOC LINN LYON,BULL SOC LINN LYON,2554-5280,,PLANT & ANIMAL SCIENCE
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE,B SOC MATH FR,BULL SOC MATH FR,0037-9484,2102-622X,MATHEMATICS
BULLETIN DES SCIENCES MATHEMATIQUES,B SCI MATH,BULL SCI MATH,0007-4497,1952-4773,MATHEMATICS
BULLETIN DU CANCER,B CANCER,BULL CANCER,0007-4551,1769-6917,CLINICAL MEDICINE
BULLETIN MATHEMATIQUE DE LA SOCIETE DES SCIENCES MATHEMATIQUES DE ROUMANIE,B MATH SOC SCI MATH,BULL MATH SOC SCI MATH ROUM,1220-3874,2065-0264,MATHEMATICS
BULLETIN MENSUEL DE LA SOCIETE LINNEENNE DE LYON,B MENS SOC LINN LYON,BULL MENS SOC LINN LYON,0366-1326,,PLANT & ANIMAL SCIENCE
BULLETIN OF EARTHQUAKE ENGINEERING,B EARTHQ ENG,BULL EARTHQ ENG,1570-761X,1573-1456,GEOSCIENCES
BULLETIN OF ECONOMIC RESEARCH,B ECON RES,BULL ECON RES,0307-3378,1467-8586,ECONOMICS & BUSINESS
BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT,B ENG GEOL ENVIRON,BULL ENG GEOL ENVIRON,1435-9529,1435-9537,GEOSCIENCES
BULLETIN OF ENTOMOLOGICAL RESEARCH,B ENTOMOL RES,BULL ENTOMOL RES,0007-4853,1475-2670,PLANT & ANIMAL SCIENCE
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,B ENVIRON CONTAM TOX,BULL ENVIRON CONTAM TOXICOL,0007-4861,1432-0800,ENVIRONMENT/ECOLOGY
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,B EXP BIOL MED+,BULL EXP BIOL MED-ENGL TR,0007-4888,1573-8221,CLINICAL MEDICINE
BULLETIN OF GEOPHYSICS AND OCEANOGRAPHY,B GEOPHYS OCEANOGR,BULL GEOPHYS OCEANOGR,2785-339X,2785-2970,GEOSCIENCES
BULLETIN OF GEOSCIENCES,B GEOSCI,BULL GEOSCI,1214-1119,1802-8225,GEOSCIENCES
BULLETIN OF INDONESIAN ECONOMIC STUDIES,B INDONES ECON STUD,BULL INDONES ECON STUD,0007-4918,1472-7234,ECONOMICS & BUSINESS
BULLETIN OF INSECTOLOGY,B INSECTOL,BULL INSECTOLOGY,1721-8861,2283-0332,PLANT & ANIMAL SCIENCE
BULLETIN OF LATIN AMERICAN RESEARCH,B LAT AM RES,BULL LAT AM RES,0261-3050,1470-9856,"SOCIAL SCIENCES, GENERAL"
BULLETIN OF MARINE SCIENCE,B MAR SCI,BULL MAR SCI,0007-4977,1553-6955,PLANT & ANIMAL SCIENCE
BULLETIN OF MATERIALS SCIENCE,B MATER SCI,BULL MATER SCI,0250-4707,0973-7669,MATERIALS SCIENCE
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,BULL MATH BIOL,0092-8240,1522-9602,MATHEMATICS
BULLETIN OF MATHEMATICAL SCIENCES,B MATH SCI,BULL MATH SCI,1664-3607,1664-3615,MATHEMATICS
BULLETIN OF PHARMACEUTICAL SCIENCES,B PHARM SCI,BULL PHARM SCI,1110-0052,,PHARMACOLOGY & TOXICOLOGY
BULLETIN OF SYMBOLIC LOGIC,B SYMB LOG,BULL SYMB LOG,1079-8986,1943-5894,MATHEMATICS
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,B AM MATH SOC,BULL AMER MATH SOC,0273-0979,1088-9485,MATHEMATICS
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,B AM METEOROL SOC,BULL AMER METEOROL SOC,0003-0007,1520-0477,GEOSCIENCES
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,BULL AM MUS NAT HIST,0003-0090,1937-3546,ENVIRONMENT/ECOLOGY
BULLETIN OF THE ASTRONOMICAL SOCIETY OF INDIA,B ASTRON SOC INDIA,BULL ASTRON SOC INDIA,0304-9523,0304-9523,SPACE SCIENCE
BULLETIN OF THE ATOMIC SCIENTISTS,B ATOM SCI,BULL ATOM SCI,0096-3402,1938-3282,"SOCIAL SCIENCES, GENERAL"
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,B AUST MATH SOC,BULL AUST MATH SOC,0004-9727,1755-1633,MATHEMATICS
BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,B BELG MATH SOC-SIM,BULL BELG MATH SOC-SIMON STEV,1370-1444,2034-1970,MATHEMATICS
BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY,B BRAZ MATH SOC,BULL BRAZ MATH SOC,1678-7544,1678-7714,MATHEMATICS
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,B CHEM SOC ETHIOPIA,BULL CHEM SOC ETHIOPIA,1011-3924,1726-801X,CHEMISTRY
BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,B CHEM SOC JPN,BULL CHEM SOC JPN,0009-2673,1348-0634,CHEMISTRY
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,B EUR ASSOC FISH PAT,BULL EUR ASSOC FISH PATHOL,0108-0288,0108-0288,PLANT & ANIMAL SCIENCE
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,B GEOL SOC DENMARK,BULL GEOL SOC DEN,2245-7070,2245-7070,GEOSCIENCES
BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,B GEOL SOC FINLAND,BULL GEOL SOC FINL,0367-5211,1799-4632,GEOSCIENCES
BULLETIN OF THE HISTORY OF MEDICINE,B HIST MED,BULL HIST MED,0007-5140,1086-3176,CLINICAL MEDICINE
BULLETIN OF THE IRANIAN MATHEMATICAL SOCIETY,B IRAN MATH SOC,BULL IRAN MATH SOC,1017-060X,1735-8515,MATHEMATICS
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,B KOREAN CHEM SOC,BULL KOREAN CHEM SOC,0253-2964,1229-5949,CHEMISTRY
BULLETIN OF THE KOREAN MATHEMATICAL SOCIETY,B KOREAN MATH SOC,BULL KOREAN MATH SOC,1015-8634,1015-8634,MATHEMATICS
BULLETIN OF THE LEBEDEV PHYSICS INSTITUTE,B LEBEDEV PHYS INST+,BULL LEBEDEV PHYS INST,1068-3356,1934-838X,PHYSICS
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,B LOND MATH SOC,BULL LOND MATH SOC,0024-6093,1469-2120,MATHEMATICS
BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY,B MALAYS MATH SCI SO,B MALAYS MATH SCI SOC,0126-6705,2180-4206,MATHEMATICS
BULLETIN OF THE MENNINGER CLINIC,B MENNINGER CLIN,BULL MENNINGER CLIN,0025-9284,1943-2828,PSYCHIATRY/PSYCHOLOGY
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,B PEABODY MUS NAT HI,BULL PEABODY MUS NATL HIST,0079-032X,2162-4135,ENVIRONMENT/ECOLOGY
BULLETIN OF THE POLISH ACADEMY OF SCIENCES-TECHNICAL SCIENCES,B POL ACAD SCI-TECH,BULL POL ACAD SCI-TECH SCI,0239-7528,2300-1917,ENGINEERING
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,B SEISMOL SOC AM,BULL SEISMOL SOC AMER,0037-1106,1943-3573,GEOSCIENCES
BULLETIN OF THE VETERINARY INSTITUTE IN PULAWY,B VET I PULAWY,BULL VET INST PULAWY,0042-4870,0042-4870,PLANT & ANIMAL SCIENCE
BULLETIN OF THE WORLD HEALTH ORGANIZATION,B WORLD HEALTH ORGAN,BULL WHO,0042-9686,1564-0604,"SOCIAL SCIENCES, GENERAL"
BULLETIN OF VOLCANOLOGY,B VOLCANOL,BULL VOLCANOL,0258-8900,1432-0819,GEOSCIENCES
BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,BUNDESGESUNDHEITSBLA,BUNDESGESUNDHEITSBLATT-GESUND,1436-9990,1437-1588,"SOCIAL SCIENCES, GENERAL"
BUNSEKI KAGAKU,BUNSEKI KAGAKU,BUNSEKI KAGAKU,0525-1931,,CHEMISTRY
BURNS,BURNS,BURNS,0305-4179,1879-1409,CLINICAL MEDICINE
BURNS & TRAUMA,BURNS TRAUMA,BURNS TRAUMA,2321-3868,2321-3876,CLINICAL MEDICINE
BUSINESS & INFORMATION SYSTEMS ENGINEERING,BUS INFORM SYST ENG+,BUS INF SYST ENG,2363-7005,1867-0202,COMPUTER SCIENCE
BUSINESS & SOCIETY,BUS SOC,BUS SOC,0007-6503,1552-4205,ECONOMICS & BUSINESS
BUSINESS AND POLITICS,BUS POLIT,BUS POLIT,****-****,1469-3569,"SOCIAL SCIENCES, GENERAL"
BUSINESS ETHICS QUARTERLY,BUS ETHICS Q,BUS ETHICS Q,1052-150X,2153-3326,ECONOMICS & BUSINESS
BUSINESS ETHICS THE ENVIRONMENT & RESPONSIBILITY,BUS ETHICS ENV RESP,BUS ETHICS ENVIRON RESPONSIB,2694-6416,2694-6424,ECONOMICS & BUSINESS
BUSINESS ETHICS-A EUROPEAN REVIEW,BUS ETHICS,BUS ETHICS,0962-8770,1467-8608,ECONOMICS & BUSINESS
BUSINESS HISTORY,BUS HIST,BUS HIST,0007-6791,1743-7938,ECONOMICS & BUSINESS
BUSINESS HISTORY REVIEW,BUS HIST REV,BUS HIST REV,0007-6805,2044-768X,ECONOMICS & BUSINESS
BUSINESS HORIZONS,BUS HORIZONS,BUS HORIZ,0007-6813,1873-6068,ECONOMICS & BUSINESS
BUSINESS LAWYER,BUS LAWYER,BUS LAWYER,0007-6899,2164-1838,"SOCIAL SCIENCES, GENERAL"
BUSINESS PROCESS MANAGEMENT JOURNAL,BUS PROCESS MANAG J,BUS PROCESS MANAG J,1463-7154,1758-4116,ECONOMICS & BUSINESS
BUSINESS STRATEGY AND THE ENVIRONMENT,BUS STRATEG ENVIRON,BUS STRATEG ENVIRON,0964-4733,1099-0836,ECONOMICS & BUSINESS
BWK,BWK-ENERGIE-FACHMAG,BWK,1618-193X,,ENGINEERING
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,CA-A CANCER J CLIN,0007-9235,1542-4863,CLINICAL MEDICINE
CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY,CAAI T INTELL TECHNO,CAAI T INTELL TECHNOL,2468-6557,2468-2322,COMPUTER SCIENCE
CADERNOS DE SAUDE PUBLICA,CAD SAUDE PUBLICA,CAD SAUDE PUBLICA,0102-311X,1678-4464,"SOCIAL SCIENCES, GENERAL"
CADMO,CADMO,CADMO,1122-5165,1972-5019,"SOCIAL SCIENCES, GENERAL"
CAHIERS AGRICULTURES,CAH AGRIC,CAH AGRIC,1166-7699,1777-5949,AGRICULTURAL SCIENCES
CAHIERS DE BIOLOGIE MARINE,CAH BIOL MAR,CAH BIOL MAR,0007-9723,2262-3094,PLANT & ANIMAL SCIENCE
CALCIFIED TISSUE INTERNATIONAL,CALCIFIED TISSUE INT,CALCIFIED TISSUE INT,0171-967X,1432-0827,BIOLOGY & BIOCHEMISTRY
CALCOLO,CALCOLO,CALCOLO,0008-0624,1126-5434,MATHEMATICS
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,CALC VAR PARTIAL DIFFER EQUAT,0944-2669,1432-0835,MATHEMATICS
